下料批次号,零件名,面料号,零件外轮廓线坐标
L0003,s000001,M0003,"[[5873.0, 43.0], [5872.6, 47.10000000000002], [5872.0, 52.60000000000002], [5871.4, 58.299999999999955], [5870.8, 64.20000000000005], [5869.6, 76.20000000000005], [5868.3, 88.59999999999991], [5865.7, 113.59999999999991], [5864.4, 125.90000000000009], [5863.5, 134.79999999999995], [5862.6, 143.5], [5861.1, 160.9000000000001], [5860.4, 170.9000000000001], [5859.8, 180.9000000000001], [5859.6, 188.79999999999995], [5859.6, 196.79999999999995], [5859.4, 203.5], [5859.1, 210.0999999999999], [5858.2, 223.5], [5857.7, 234.70000000000005], [5857.2, 245.9000000000001], [5856.7, 268.4000000000001], [5856.2, 294.4000000000001], [5855.9, 307.29999999999995], [5855.7, 319.79999999999995], [5850.6, 320.0], [5846.0, 320.0999999999999], [5841.8, 320.20000000000005], [5837.8, 320.29999999999995], [5834.1, 320.4000000000001], [5830.6, 320.5], [5823.6, 320.5999999999999], [5814.9, 320.79999999999995], [5805.8, 321.0], [5796.4, 321.0999999999999], [5786.7, 321.20000000000005], [5776.8, 321.29999999999995], [5766.8, 321.4000000000001], [5747.0, 321.4000000000001], [5735.8, 321.29999999999995], [5724.8, 321.20000000000005], [5702.9, 321.0], [5694.0, 321.0], [5689.5, 321.20000000000005], [5685.1, 321.4000000000001], [5679.6, 321.9000000000001], [5674.1, 322.5999999999999], [5667.4, 323.29999999999995], [5664.3, 323.79999999999995], [5660.7, 324.4000000000001], [5653.7, 325.9000000000001], [5646.8, 327.9000000000001], [5641.9, 329.4000000000001], [5639.5, 330.4000000000001], [5637.2, 331.4000000000001], [5635.2, 332.5], [5633.3, 333.70000000000005], [5629.6, 336.5], [5625.3, 340.0999999999999], [5621.5, 344.0999999999999], [5618.8, 347.4000000000001], [5616.4, 350.9000000000001], [5613.3, 355.79999999999995], [5610.6, 360.5999999999999], [5607.8, 366.5999999999999], [5605.4, 372.70000000000005], [5594.0, 370.29999999999995], [5582.8, 368.0], [5571.7, 365.70000000000005], [5560.7, 363.5], [5538.9, 359.20000000000005], [5517.2, 355.0999999999999], [5491.6, 350.5], [5465.6, 346.29999999999995], [5439.6, 342.4000000000001], [5413.5, 338.70000000000005], [5381.9, 334.5999999999999], [5350.4, 330.79999999999995], [5324.9, 327.9000000000001], [5299.3, 325.4000000000001], [5273.7, 323.20000000000005], [5248.1, 321.4000000000001], [5228.1, 320.29999999999995], [5208.1, 319.5], [5174.7, 318.29999999999995], [5132.7, 317.0], [5109.3, 316.20000000000005], [5085.8, 315.5], [5065.8, 315.20000000000005], [5045.7, 315.0], [5001.5, 314.5], [4955.6, 314.20000000000005], [4921.4, 313.9000000000001], [4887.0, 313.5999999999999], [4854.4, 313.5], [4797.4, 313.5], [4784.6, 313.5999999999999], [4771.2, 313.5999999999999], [4771.2, 66.10000000000002], [4775.0, 66.20000000000005], [4785.5, 66.20000000000005], [4791.9, 66.29999999999995], [4797.9, 66.29999999999995], [4803.7, 66.39999999999998], [4861.0, 66.39999999999998], [4871.7, 66.29999999999995], [4882.5, 66.29999999999995], [4904.1, 66.20000000000005], [4958.9, 66.20000000000005], [4985.8, 66.0], [5012.7, 65.79999999999995], [5040.9, 65.29999999999995], [5069.2, 64.60000000000002], [5126.0, 63.0], [5176.6, 61.39999999999998], [5215.3, 59.89999999999998], [5248.6, 58.39999999999998], [5283.7, 56.39999999999998], [5318.8, 53.799999999999955], [5340.9, 51.89999999999998], [5363.0, 49.89999999999998], [5390.3, 47.10000000000002], [5417.5, 44.200000000000045], [5440.0, 41.5], [5462.4, 38.60000000000002], [5485.4, 35.39999999999998], [5508.4, 31.899999999999977], [5531.7, 28.299999999999955], [5554.9, 24.399999999999977], [5570.6, 21.700000000000045], [5586.4, 19.100000000000023], [5603.2, 16.600000000000023], [5615.0, 15.100000000000023], [5620.0, 14.399999999999977], [5622.8, 14.100000000000023], [5630.9, 13.200000000000045], [5639.0, 12.299999999999955], [5655.4, 10.700000000000045], [5663.5, 9.899999999999977], [5671.5, 9.100000000000023], [5679.3, 8.299999999999955], [5686.7, 7.600000000000023], [5686.6, 8.899999999999977], [5686.6, 9.799999999999955], [5874.2, 31.899999999999977], [5873.7, 36.700000000000045], [5873.1, 41.799999999999955], [5873.0, 43.0]]"
L0003,s000002,M0003,"[[14222.0, 1583.0], [14032.6, 1582.8], [14032.5, 1584.9], [14031.4, 1584.7], [14030.4, 1584.4], [14029.6, 1584.2], [14028.5, 1583.9], [14027.2, 1583.6], [14025.8, 1583.3], [14024.2, 1582.9], [14020.8, 1582.1], [14013.6, 1580.3], [14010.2, 1579.4], [14008.6, 1579.0], [14007.2, 1578.7], [14005.5, 1575.8], [14003.8, 1572.8], [14000.3, 1566.8], [13997.6, 1562.4], [13996.1, 1560.2], [13994.5, 1558.2], [13992.4, 1555.8], [13990.0, 1553.5], [13985.1, 1549.3], [13981.3, 1546.1], [13977.3, 1542.8], [13979.2, 1541.3], [13981.2, 1539.7], [13983.2, 1538.0], [13985.1, 1536.4], [13987.0, 1534.7], [13988.0, 1533.8], [13989.1, 1532.8], [14224.2, 1533.0], [14224.0, 1537.4], [14223.8, 1542.1], [14223.6, 1547.2], [14223.3, 1552.3], [14223.1, 1557.5], [14222.8, 1562.5], [14222.6, 1567.2], [14222.5, 1571.4], [14222.4, 1573.8], [14222.3, 1576.3], [14222.2, 1577.7], [14222.2, 1579.2], [14222.1, 1581.0], [14222.0, 1583.0]]"
L0003,s000003,M0003,"[[5244.0, 7.0], [5245.3, 32.0], [4897.7, 49.5], [4896.4, 24.5], [5244.0, 7.0]]"
L0003,s000004,M0003,"[[14760.0, 1093.0], [14760.0, 1161.0], [14558.8, 1161.0], [14558.8, 1093.0], [14760.0, 1093.0]]"
L0003,s000005,M0003,"[[7841.0, 434.0], [7841.3, 435.20000000000005], [7842.5, 438.70000000000005], [7843.3, 440.29999999999995], [7844.2, 441.9000000000001], [7846.3, 444.5999999999999], [7848.8, 446.9000000000001], [7851.4, 448.70000000000005], [7854.2, 450.0999999999999], [7857.2, 451.29999999999995], [7860.2, 452.20000000000005], [7867.4, 454.0999999999999], [7874.6, 455.9000000000001], [7881.7, 457.5], [7888.4, 459.0], [7891.7, 459.79999999999995], [7895.0, 460.5999999999999], [7898.6, 461.4000000000001], [7900.6, 461.9000000000001], [7902.7, 462.4000000000001], [7899.7, 469.4000000000001], [7896.5, 476.79999999999995], [7893.3, 484.3000000000002], [7891.3, 489.0999999999999], [7890.1, 491.9000000000001], [7885.5, 503.1999999999998], [7881.0, 514.4000000000001], [7870.9, 540.3000000000002], [7861.6, 563.3000000000002], [7856.3, 576.0], [7850.9, 588.8000000000002], [7849.4, 592.0999999999999], [7846.2, 599.0999999999999], [7843.9, 604.1999999999998], [7841.5, 609.0999999999999], [7838.0, 615.8000000000002], [7836.2, 619.1999999999998], [7834.2, 622.9000000000001], [7832.8, 622.1999999999998], [7831.6, 621.5], [7830.6, 621.0], [7829.8, 620.5999999999999], [7828.4, 619.8000000000002], [7827.3, 619.1999999999998], [7825.6, 618.4000000000001], [7823.8, 617.5], [7819.7, 615.4000000000001], [7815.1, 613.1999999999998], [7810.2, 610.8000000000002], [7805.1, 608.3000000000002], [7799.8, 605.8000000000002], [7794.5, 603.4000000000001], [7789.3, 601.0], [7784.8, 599.0], [7780.4, 597.0], [7771.7, 593.3000000000002], [7757.2, 587.3000000000002], [7742.5, 581.3000000000002], [7731.7, 577.4000000000001], [7726.3, 575.5], [7722.8, 574.5], [7720.8, 573.9000000000001], [7711.3, 571.5], [7701.6, 569.4000000000001], [7692.5, 567.5999999999999], [7687.9, 566.8000000000002], [7683.3, 566.1999999999998], [7676.2, 565.5999999999999], [7669.1, 565.4000000000001], [7661.0, 565.5999999999999], [7653.0, 566.3000000000002], [7646.8, 567.1999999999998], [7640.7, 568.4000000000001], [7638.1, 569.0999999999999], [7635.5, 569.9000000000001], [7632.9, 571.0], [7630.4, 572.0999999999999], [7627.8, 573.3000000000002], [7625.3, 574.6999999999998], [7623.9, 575.8000000000002], [7622.6, 577.0], [7620.0, 579.5999999999999], [7617.5, 582.3000000000002], [7615.5, 585.0], [7613.8, 587.8000000000002], [7612.0, 591.4000000000001], [7610.6, 595.0999999999999], [7609.1, 599.5999999999999], [7607.8, 604.0], [7602.2, 602.6999999999998], [7596.9, 601.5], [7586.9, 599.5], [7579.2, 598.0999999999999], [7571.3, 596.8000000000002], [7555.2, 594.5999999999999], [7539.9, 592.5999999999999], [7524.6, 591.0], [7509.6, 589.6999999999998], [7494.5, 588.6999999999998], [7481.4, 588.0999999999999], [7474.9, 587.9000000000001], [7471.8, 587.9000000000001], [7468.4, 588.0], [7457.5, 588.4000000000001], [7446.6, 589.0], [7439.2, 589.5], [7431.8, 590.1999999999998], [7422.2, 591.4000000000001], [7412.5, 592.9000000000001], [7394.5, 595.5999999999999], [7376.8, 598.1999999999998], [7362.6, 600.4000000000001], [7355.3, 601.5], [7347.8, 602.5999999999999], [7336.9, 600.3000000000002], [7327.7, 601.0], [7318.1, 601.8000000000002], [7308.1, 602.5], [7297.8, 603.1999999999998], [7287.3, 603.9000000000001], [7276.7, 604.5999999999999], [7266.1, 605.3000000000002], [7255.6, 605.8000000000002], [7243.4, 606.4000000000001], [7231.4, 606.9000000000001], [7207.4, 607.8000000000002], [7184.4, 608.5999999999999], [7161.2, 609.1999999999998], [7136.1, 609.4000000000001], [7111.9, 609.5], [7111.1, 609.5], [7099.4, 609.6999999999998], [7087.2, 609.9000000000001], [7075.0, 610.1999999999998], [7063.4, 610.5], [7051.8, 610.9000000000001], [7040.4, 611.3000000000002], [7034.9, 611.5], [7029.5, 611.5999999999999], [7014.2, 413.20000000000005], [7042.3, 412.5], [7042.4, 411.0999999999999], [7042.5, 409.9000000000001], [7042.8, 407.70000000000005], [7043.1, 405.5], [7043.6, 403.20000000000005], [7044.8, 398.5], [7046.4, 392.29999999999995], [7047.4, 389.20000000000005], [7048.5, 386.29999999999995], [7050.5, 381.9000000000001], [7052.8, 377.5999999999999], [7055.5, 373.4000000000001], [7057.0, 371.4000000000001], [7058.6, 369.5999999999999], [7061.5, 367.0999999999999], [7064.6, 364.79999999999995], [7069.5, 361.29999999999995], [7074.5, 358.0], [7078.3, 355.9000000000001], [7082.3, 353.9000000000001], [7086.4, 352.0999999999999], [7090.5, 350.4000000000001], [7100.7, 346.5999999999999], [7111.1, 343.0], [7123.7, 339.0999999999999], [7136.4, 335.4000000000001], [7154.6, 330.5999999999999], [7163.7, 328.29999999999995], [7172.9, 326.20000000000005], [7183.5, 324.0], [7194.2, 322.0], [7215.7, 318.20000000000005], [7234.9, 315.20000000000005], [7244.5, 313.79999999999995], [7254.1, 312.70000000000005], [7263.1, 311.79999999999995], [7272.1, 311.0999999999999], [7290.2, 309.9000000000001], [7330.2, 307.5999999999999], [7338.7, 307.20000000000005], [7364.1, 306.0], [7389.7, 305.0999999999999], [7404.3, 304.79999999999995], [7419.0, 304.5999999999999], [7433.5, 304.5], [7447.6, 304.5], [7447.9, 300.0], [7458.0, 299.5], [7467.9, 299.0999999999999], [7477.5, 298.70000000000005], [7487.1, 298.5], [7498.8, 298.4000000000001], [7510.6, 298.4000000000001], [7522.4, 298.70000000000005], [7534.3, 299.0999999999999], [7553.7, 300.20000000000005], [7573.0, 301.70000000000005], [7592.3, 303.5], [7617.0, 306.29999999999995], [7631.8, 308.20000000000005], [7646.6, 310.20000000000005], [7661.5, 312.29999999999995], [7676.7, 314.4000000000001], [7686.9, 315.9000000000001], [7697.2, 317.5], [7718.0, 320.5999999999999], [7738.9, 323.9000000000001], [7759.6, 327.0999999999999], [7769.7, 328.79999999999995], [7779.7, 330.29999999999995], [7789.4, 331.9000000000001], [7798.9, 333.4000000000001], [7808.1, 334.9000000000001], [7817.0, 336.4000000000001], [7825.5, 337.70000000000005], [7833.6, 339.0999999999999], [7834.4, 387.20000000000005], [7835.3, 397.20000000000005], [7836.5, 406.79999999999995], [7838.1, 417.20000000000005], [7839.8, 427.70000000000005], [7840.5, 431.5], [7841.0, 434.0]]"
L0003,s000006,M0003,"[[816.0, 315.0], [1116.0, 315.0], [1116.0, 355.0], [816.0, 355.0], [816.0, 315.0]]"
L0003,s000007,M0003,"[[938.0, 1010.0], [938.0, 1070.7], [805.6999999999998, 1070.7], [805.6999999999998, 1010.0], [938.0, 1010.0]]"
L0003,s000008,M0003,"[[2325.0, 1268.0], [2325.0, 1228.0], [2625.0, 1228.0], [2625.0, 1268.0], [2325.0, 1268.0]]"
L0003,s000009,M0003,"[[7907.0, 7.0], [8116.1, 7.0], [8123.4, 48.69999999999982], [8149.1, 48.69999999999982], [8162.7, 48.59999999999991], [8185.5, 48.59999999999991], [8194.6, 48.5], [8212.6, 48.19999999999982], [8235.8, 47.40000000000009], [8259.0, 46.09999999999991], [8275.1, 44.90000000000009], [8291.1, 43.59999999999991], [8330.5, 40.80000000000018], [8366.9, 38.30000000000018], [8401.3, 36.09999999999991], [8449.0, 33.40000000000009], [8468.2, 32.40000000000009], [8487.5, 31.40000000000009], [8509.7, 30.5], [8532.0, 30.09999999999991], [8551.4, 30.199999999999818], [8570.8, 30.300000000000182], [8586.5, 30.199999999999818], [8594.4, 30.300000000000182], [8602.3, 30.40000000000009], [8612.5, 30.90000000000009], [8622.6, 31.40000000000009], [8630.1, 31.699999999999818], [8637.7, 32.09999999999991], [8644.7, 32.5], [8651.6, 32.90000000000009], [8658.3, 33.40000000000009], [8661.5, 33.59999999999991], [8664.5, 33.80000000000018], [8664.5, 48.80000000000018], [8664.6, 56.19999999999982], [8664.6, 67.90000000000009], [8665.0, 79.59999999999991], [8665.8, 90.90000000000009], [8667.0, 102.19999999999982], [8667.7, 106.59999999999991], [8668.4, 111.09999999999991], [8669.3, 115.5], [8670.5, 119.90000000000009], [8672.0, 124.09999999999991], [8673.9, 128.19999999999982], [8675.8, 131.80000000000018], [8678.0, 135.30000000000018], [8680.0, 138.19999999999982], [8682.2, 141.0], [8684.7, 143.69999999999982], [8687.4, 146.19999999999982], [8684.6, 151.9000000000001], [8682.2, 156.80000000000018], [8681.7, 157.9000000000001], [8678.6, 164.0999999999999], [8675.8, 170.0], [8675.5, 170.5], [8669.2, 183.5999999999999], [8663.0, 196.80000000000018], [8656.1, 212.0999999999999], [8649.6, 227.19999999999982], [8644.7, 239.4000000000001], [8639.8, 251.69999999999982], [8635.7, 262.1999999999998], [8631.6, 272.6999999999998], [8630.6, 275.3000000000002], [8627.9, 282.8000000000002], [8624.4, 292.6999999999998], [8622.3, 299.4000000000001], [8621.2, 302.8000000000002], [8620.0, 306.5999999999999], [8617.4, 306.1999999999998], [8615.1, 305.9000000000001], [8612.9, 305.5999999999999], [8610.8, 305.3000000000002], [8606.9, 304.8000000000002], [8603.2, 304.3000000000002], [8599.2, 303.6999999999998], [8595.0, 303.0999999999999], [8586.4, 301.9000000000001], [8577.5, 300.8000000000002], [8568.6, 299.8000000000002], [8561.4, 299.1999999999998], [8554.4, 298.6999999999998], [8540.4, 297.9000000000001], [8520.6, 297.0999999999999], [8508.2, 296.8000000000002], [8507.2, 296.8000000000002], [8495.6, 296.6999999999998], [8476.9, 296.6999999999998], [8467.8, 296.9000000000001], [8463.4, 296.9000000000001], [8459.2, 297.0999999999999], [8455.3, 297.1999999999998], [8451.2, 297.4000000000001], [8449.1, 297.5], [8446.8, 297.5999999999999], [8444.3, 297.6999999999998], [8441.7, 297.8000000000002], [8439.0, 309.5], [8435.6, 308.9000000000001], [8432.1, 308.1999999999998], [8424.6, 306.8000000000002], [8416.7, 305.4000000000001], [8408.4, 303.9000000000001], [8400.0, 302.4000000000001], [8391.4, 301.0], [8382.8, 299.5999999999999], [8374.4, 298.3000000000002], [8367.2, 297.3000000000002], [8360.1, 296.3000000000002], [8346.1, 294.4000000000001], [8332.0, 292.1999999999998], [8317.9, 290.0999999999999], [8298.6, 287.5], [8282.0, 285.4000000000001], [8265.3, 283.5], [8260.5, 283.0], [8257.0, 282.6999999999998], [8248.6, 282.0], [8240.2, 281.5], [8231.9, 281.1999999999998], [8221.5, 281.0999999999999], [8211.1, 281.0999999999999], [8186.6, 281.1999999999998], [8171.7, 281.4000000000001], [8156.8, 281.9000000000001], [8146.1, 282.5], [8135.5, 283.3000000000002], [8114.2, 284.9000000000001], [8072.2, 288.0], [8018.3, 292.0999999999999], [7969.8, 295.6999999999998], [7951.2, 297.0], [7932.6, 298.1999999999998], [7914.1, 299.1999999999998], [7906.8, 299.4000000000001], [7895.6, 299.9000000000001], [7882.2, 300.1999999999998], [7868.5, 300.4000000000001], [7857.8, 300.5999999999999], [7847.0, 300.8000000000002], [7841.8, 300.9000000000001], [7836.6, 301.0], [7831.7, 301.0999999999999], [7826.9, 301.1999999999998], [7826.1, 63.69999999999982], [7826.0, 7.0], [7907.0, 7.0]]"
L0003,s000010,M0003,"[[16882.0, 323.0], [16909.8, 456.29999999999995], [16857.1, 456.20000000000005], [16827.8, 315.5], [16882.0, 323.0]]"
