下料批次号,零件名,面料号,零件外轮廓线坐标
L0003,s000001,M0003,"[[5933.0, 656.0], [5932.6, 660.1], [5932.0, 665.6], [5931.4, 671.3], [5930.8, 677.2], [5929.6, 689.2], [5928.3, 701.5999999999999], [5925.7, 726.5999999999999], [5924.4, 738.9000000000001], [5923.5, 747.8], [5922.6, 756.5], [5921.1, 773.9000000000001], [5920.4, 783.9000000000001], [5919.8, 793.9000000000001], [5919.6, 801.8], [5919.6, 809.8], [5919.4, 816.5], [5919.1, 823.0999999999999], [5918.2, 836.5], [5917.7, 847.7], [5917.2, 858.9000000000001], [5916.7, 881.4000000000001], [5916.2, 907.4000000000001], [5915.9, 920.3], [5915.7, 932.8], [5910.6, 933.0], [5906.0, 933.0999999999999], [5901.8, 933.2], [5897.8, 933.3], [5894.1, 933.4000000000001], [5890.6, 933.5], [5883.6, 933.5999999999999], [5874.9, 933.8], [5865.8, 934.0], [5856.4, 934.0999999999999], [5846.7, 934.2], [5836.8, 934.3], [5826.8, 934.4000000000001], [5807.0, 934.4000000000001], [5795.8, 934.3], [5784.8, 934.2], [5762.9, 934.0], [5754.0, 934.0], [5749.5, 934.2], [5745.1, 934.4000000000001], [5739.6, 934.9000000000001], [5734.1, 935.5999999999999], [5727.4, 936.3], [5724.3, 936.8], [5720.7, 937.4000000000001], [5713.7, 938.9000000000001], [5706.8, 940.9000000000001], [5701.9, 942.4000000000001], [5699.5, 943.4000000000001], [5697.2, 944.4000000000001], [5695.2, 945.5], [5693.3, 946.7], [5689.6, 949.5], [5685.3, 953.0999999999999], [5681.5, 957.0999999999999], [5678.8, 960.4000000000001], [5676.4, 963.9000000000001], [5673.3, 968.8], [5670.6, 973.5999999999999], [5667.8, 979.5999999999999], [5665.4, 985.7], [5654.0, 983.3], [5642.8, 981.0], [5631.7, 978.7], [5620.7, 976.5], [5598.9, 972.2], [5577.2, 968.0999999999999], [5551.6, 963.5], [5525.6, 959.3], [5499.6, 955.4000000000001], [5473.5, 951.7], [5441.9, 947.5999999999999], [5410.4, 943.8], [5384.9, 940.9000000000001], [5359.3, 938.4000000000001], [5333.7, 936.2], [5308.1, 934.4000000000001], [5288.1, 933.3], [5268.1, 932.5], [5234.7, 931.3], [5192.7, 930.0], [5169.3, 929.2], [5145.8, 928.5], [5125.8, 928.2], [5105.7, 928.0], [5061.5, 927.5], [5015.6, 927.2], [4981.4, 926.9000000000001], [4947.0, 926.5999999999999], [4914.4, 926.5], [4857.4, 926.5], [4844.6, 926.5999999999999], [4831.2, 926.5999999999999], [4831.2, 679.1], [4835.0, 679.2], [4845.5, 679.2], [4851.9, 679.3], [4857.9, 679.3], [4863.7, 679.4], [4921.0, 679.4], [4931.7, 679.3], [4942.5, 679.3], [4964.1, 679.2], [5018.9, 679.2], [5045.8, 679.0], [5072.7, 678.8], [5100.9, 678.3], [5129.2, 677.6], [5186.0, 676.0], [5236.6, 674.4], [5275.3, 672.9], [5308.6, 671.4], [5343.7, 669.4], [5378.8, 666.8], [5400.9, 664.9], [5423.0, 662.9], [5450.3, 660.1], [5477.5, 657.2], [5500.0, 654.5], [5522.4, 651.6], [5545.4, 648.4], [5568.4, 644.9], [5591.7, 641.3], [5614.9, 637.4], [5630.6, 634.7], [5646.4, 632.1], [5663.2, 629.6], [5675.0, 628.1], [5680.0, 627.4], [5682.8, 627.1], [5690.9, 626.2], [5699.0, 625.3], [5715.4, 623.7], [5723.5, 622.9], [5731.5, 622.1], [5739.3, 621.3], [5746.7, 620.6], [5746.6, 621.9], [5746.6, 622.8], [5934.2, 644.9], [5933.7, 649.7], [5933.1, 654.8], [5933.0, 656.0]]"
L0003,s000002,M0003,"[[8658.0, 1164.0], [8468.6, 1163.8], [8468.5, 1165.9], [8467.4, 1165.7], [8466.4, 1165.4], [8465.6, 1165.2], [8464.5, 1164.9], [8463.2, 1164.6], [8461.8, 1164.3], [8460.2, 1163.9], [8456.8, 1163.1], [8449.6, 1161.3], [8446.2, 1160.4], [8444.6, 1160.0], [8443.2, 1159.7], [8441.5, 1156.8], [8439.8, 1153.8], [8436.3, 1147.8], [8433.6, 1143.4], [8432.1, 1141.2], [8430.5, 1139.2], [8428.4, 1136.8], [8426.0, 1134.5], [8421.1, 1130.3], [8417.3, 1127.1], [8413.3, 1123.8], [8415.2, 1122.3], [8417.2, 1120.7], [8419.2, 1119.0], [8421.1, 1117.4], [8423.0, 1115.7], [8424.0, 1114.8], [8425.1, 1113.8], [8660.2, 1114.0], [8660.0, 1118.4], [8659.8, 1123.1], [8659.6, 1128.2], [8659.3, 1133.3], [8659.1, 1138.5], [8658.8, 1143.5], [8658.6, 1148.2], [8658.5, 1152.4], [8658.4, 1154.8], [8658.3, 1157.3], [8658.2, 1158.7], [8658.2, 1160.2], [8658.1, 1162.0], [8658.0, 1164.0]]"
L0003,s000003,M0003,"[[6372.0, 721.0], [6373.3, 746.0], [6025.7, 763.5], [6024.4, 738.5], [6372.0, 721.0]]"
L0003,s000004,M0003,"[[12355.0, 1521.0], [12355.0, 1589.0], [12153.8, 1589.0], [12153.8, 1521.0], [12355.0, 1521.0]]"
L0003,s000005,M0003,"[[7896.0, 1405.0], [7896.3, 1406.2], [7897.5, 1409.7], [7898.3, 1411.3], [7899.2, 1412.9], [7901.3, 1415.6], [7903.8, 1417.9], [7906.4, 1419.7], [7909.2, 1421.1], [7912.2, 1422.3], [7915.2, 1423.2], [7922.4, 1425.1], [7929.6, 1426.9], [7936.7, 1428.5], [7943.4, 1430.0], [7946.7, 1430.8], [7950.0, 1431.6], [7953.6, 1432.4], [7955.6, 1432.9], [7957.7, 1433.4], [7954.7, 1440.4], [7951.5, 1447.8], [7948.3, 1455.3000000000002], [7946.3, 1460.1], [7945.1, 1462.9], [7940.5, 1474.1999999999998], [7936.0, 1485.4], [7925.9, 1511.3000000000002], [7916.6, 1534.3000000000002], [7911.3, 1547.0], [7905.9, 1559.8000000000002], [7904.4, 1563.1], [7901.2, 1570.1], [7898.9, 1575.1999999999998], [7896.5, 1580.1], [7893.0, 1586.8000000000002], [7891.2, 1590.1999999999998], [7889.2, 1593.9], [7887.8, 1593.1999999999998], [7886.6, 1592.5], [7885.6, 1592.0], [7884.8, 1591.6], [7883.4, 1590.8000000000002], [7882.3, 1590.1999999999998], [7880.6, 1589.4], [7878.8, 1588.5], [7874.7, 1586.4], [7870.1, 1584.1999999999998], [7865.2, 1581.8000000000002], [7860.1, 1579.3000000000002], [7854.8, 1576.8000000000002], [7849.5, 1574.4], [7844.3, 1572.0], [7839.8, 1570.0], [7835.4, 1568.0], [7826.7, 1564.3000000000002], [7812.2, 1558.3000000000002], [7797.5, 1552.3000000000002], [7786.7, 1548.4], [7781.3, 1546.5], [7777.8, 1545.5], [7775.8, 1544.9], [7766.3, 1542.5], [7756.6, 1540.4], [7747.5, 1538.6], [7742.9, 1537.8000000000002], [7738.3, 1537.1999999999998], [7731.2, 1536.6], [7724.1, 1536.4], [7716.0, 1536.6], [7708.0, 1537.3000000000002], [7701.8, 1538.1999999999998], [7695.7, 1539.4], [7693.1, 1540.1], [7690.5, 1540.9], [7687.9, 1542.0], [7685.4, 1543.1], [7682.8, 1544.3000000000002], [7680.3, 1545.6999999999998], [7678.9, 1546.8000000000002], [7677.6, 1548.0], [7675.0, 1550.6], [7672.5, 1553.3000000000002], [7670.5, 1556.0], [7668.8, 1558.8000000000002], [7667.0, 1562.4], [7665.6, 1566.1], [7664.1, 1570.6], [7662.8, 1575.0], [7657.2, 1573.6999999999998], [7651.9, 1572.5], [7641.9, 1570.5], [7634.2, 1569.1], [7626.3, 1567.8000000000002], [7610.2, 1565.6], [7594.9, 1563.6], [7579.6, 1562.0], [7564.6, 1560.6999999999998], [7549.5, 1559.6999999999998], [7536.4, 1559.1], [7529.9, 1558.9], [7526.8, 1558.9], [7523.4, 1559.0], [7512.5, 1559.4], [7501.6, 1560.0], [7494.2, 1560.5], [7486.8, 1561.1999999999998], [7477.2, 1562.4], [7467.5, 1563.9], [7449.5, 1566.6], [7431.8, 1569.1999999999998], [7417.6, 1571.4], [7410.3, 1572.5], [7402.8, 1573.6], [7391.9, 1571.3000000000002], [7382.7, 1572.0], [7373.1, 1572.8000000000002], [7363.1, 1573.5], [7352.8, 1574.1999999999998], [7342.3, 1574.9], [7331.7, 1575.6], [7321.1, 1576.3000000000002], [7310.6, 1576.8000000000002], [7298.4, 1577.4], [7286.4, 1577.9], [7262.4, 1578.8000000000002], [7239.4, 1579.6], [7216.2, 1580.1999999999998], [7191.1, 1580.4], [7166.9, 1580.5], [7166.1, 1580.5], [7154.4, 1580.6999999999998], [7142.2, 1580.9], [7130.0, 1581.1999999999998], [7118.4, 1581.5], [7106.8, 1581.9], [7095.4, 1582.3000000000002], [7089.9, 1582.5], [7084.5, 1582.6], [7069.2, 1384.2], [7097.3, 1383.5], [7097.4, 1382.1], [7097.5, 1380.9], [7097.8, 1378.7], [7098.1, 1376.5], [7098.6, 1374.2], [7099.8, 1369.5], [7101.4, 1363.3], [7102.4, 1360.2], [7103.5, 1357.3], [7105.5, 1352.9], [7107.8, 1348.6], [7110.5, 1344.4], [7112.0, 1342.4], [7113.6, 1340.6], [7116.5, 1338.1], [7119.6, 1335.8], [7124.5, 1332.3], [7129.5, 1329.0], [7133.3, 1326.9], [7137.3, 1324.9], [7141.4, 1323.1], [7145.5, 1321.4], [7155.7, 1317.6], [7166.1, 1314.0], [7178.7, 1310.1], [7191.4, 1306.4], [7209.6, 1301.6], [7218.7, 1299.3], [7227.9, 1297.2], [7238.5, 1295.0], [7249.2, 1293.0], [7270.7, 1289.2], [7289.9, 1286.2], [7299.5, 1284.8], [7309.1, 1283.7], [7318.1, 1282.8], [7327.1, 1282.1], [7345.2, 1280.9], [7385.2, 1278.6], [7393.7, 1278.2], [7419.1, 1277.0], [7444.7, 1276.1], [7459.3, 1275.8], [7474.0, 1275.6], [7488.5, 1275.5], [7502.6, 1275.5], [7502.9, 1271.0], [7513.0, 1270.5], [7522.9, 1270.1], [7532.5, 1269.7], [7542.1, 1269.5], [7553.8, 1269.4], [7565.6, 1269.4], [7577.4, 1269.7], [7589.3, 1270.1], [7608.7, 1271.2], [7628.0, 1272.7], [7647.3, 1274.5], [7672.0, 1277.3], [7686.8, 1279.2], [7701.6, 1281.2], [7716.5, 1283.3], [7731.7, 1285.4], [7741.9, 1286.9], [7752.2, 1288.5], [7773.0, 1291.6], [7793.9, 1294.9], [7814.6, 1298.1], [7824.7, 1299.8], [7834.7, 1301.3], [7844.4, 1302.9], [7853.9, 1304.4], [7863.1, 1305.9], [7872.0, 1307.4], [7880.5, 1308.7], [7888.6, 1310.1], [7889.4, 1358.2], [7890.3, 1368.2], [7891.5, 1377.8], [7893.1, 1388.2], [7894.8, 1398.7], [7895.5, 1402.5], [7896.0, 1405.0]]"
L0003,s000006,M0003,"[[816.0, 315.0], [1116.0, 315.0], [1116.0, 355.0], [816.0, 355.0], [816.0, 315.0]]"
L0003,s000007,M0003,"[[140.0, 7.0], [140.0, 67.70000000000005], [7.699999999999818, 67.70000000000005], [7.699999999999818, 7.0], [140.0, 7.0]]"
L0003,s000008,M0003,"[[2325.0, 1268.0], [2325.0, 1228.0], [2625.0, 1228.0], [2625.0, 1268.0], [2325.0, 1268.0]]"
L0003,s000009,M0003,"[[7269.0, 916.0], [7478.1, 916.0], [7485.4, 957.6999999999998], [7511.1, 957.6999999999998], [7524.7, 957.5999999999999], [7547.5, 957.5999999999999], [7556.6, 957.5], [7574.6, 957.1999999999998], [7597.8, 956.4000000000001], [7621.0, 955.0999999999999], [7637.1, 953.9000000000001], [7653.1, 952.5999999999999], [7692.5, 949.8000000000002], [7728.9, 947.3000000000002], [7763.3, 945.0999999999999], [7811.0, 942.4000000000001], [7830.2, 941.4000000000001], [7849.5, 940.4000000000001], [7871.7, 939.5], [7894.0, 939.0999999999999], [7913.4, 939.1999999999998], [7932.8, 939.3000000000002], [7948.5, 939.1999999999998], [7956.4, 939.3000000000002], [7964.3, 939.4000000000001], [7974.5, 939.9000000000001], [7984.6, 940.4000000000001], [7992.1, 940.6999999999998], [7999.7, 941.0999999999999], [8006.7, 941.5], [8013.6, 941.9000000000001], [8020.3, 942.4000000000001], [8023.5, 942.5999999999999], [8026.5, 942.8000000000002], [8026.5, 957.8000000000002], [8026.6, 965.1999999999998], [8026.6, 976.9000000000001], [8027.0, 988.5999999999999], [8027.8, 999.9000000000001], [8029.0, 1011.1999999999998], [8029.7, 1015.5999999999999], [8030.4, 1020.0999999999999], [8031.3, 1024.5], [8032.5, 1028.9], [8034.0, 1033.1], [8035.9, 1037.1999999999998], [8037.8, 1040.8000000000002], [8040.0, 1044.3000000000002], [8042.0, 1047.1999999999998], [8044.2, 1050.0], [8046.7, 1052.6999999999998], [8049.4, 1055.1999999999998], [8046.6, 1060.9], [8044.2, 1065.8000000000002], [8043.7, 1066.9], [8040.6, 1073.1], [8037.8, 1079.0], [8037.5, 1079.5], [8031.2, 1092.6], [8025.0, 1105.8000000000002], [8018.1, 1121.1], [8011.6, 1136.1999999999998], [8006.7, 1148.4], [8001.8, 1160.6999999999998], [7997.7, 1171.1999999999998], [7993.6, 1181.6999999999998], [7992.6, 1184.3000000000002], [7989.9, 1191.8000000000002], [7986.4, 1201.6999999999998], [7984.3, 1208.4], [7983.2, 1211.8000000000002], [7982.0, 1215.6], [7979.4, 1215.1999999999998], [7977.1, 1214.9], [7974.9, 1214.6], [7972.8, 1214.3000000000002], [7968.9, 1213.8000000000002], [7965.2, 1213.3000000000002], [7961.2, 1212.6999999999998], [7957.0, 1212.1], [7948.4, 1210.9], [7939.5, 1209.8000000000002], [7930.6, 1208.8000000000002], [7923.4, 1208.1999999999998], [7916.4, 1207.6999999999998], [7902.4, 1206.9], [7882.6, 1206.1], [7870.2, 1205.8000000000002], [7869.2, 1205.8000000000002], [7857.6, 1205.6999999999998], [7838.9, 1205.6999999999998], [7829.8, 1205.9], [7825.4, 1205.9], [7821.2, 1206.1], [7817.3, 1206.1999999999998], [7813.2, 1206.4], [7811.1, 1206.5], [7808.8, 1206.6], [7806.3, 1206.6999999999998], [7803.7, 1206.8000000000002], [7801.0, 1218.5], [7797.6, 1217.9], [7794.1, 1217.1999999999998], [7786.6, 1215.8000000000002], [7778.7, 1214.4], [7770.4, 1212.9], [7762.0, 1211.4], [7753.4, 1210.0], [7744.8, 1208.6], [7736.4, 1207.3000000000002], [7729.2, 1206.3000000000002], [7722.1, 1205.3000000000002], [7708.1, 1203.4], [7694.0, 1201.1999999999998], [7679.9, 1199.1], [7660.6, 1196.5], [7644.0, 1194.4], [7627.3, 1192.5], [7622.5, 1192.0], [7619.0, 1191.6999999999998], [7610.6, 1191.0], [7602.2, 1190.5], [7593.9, 1190.1999999999998], [7583.5, 1190.1], [7573.1, 1190.1], [7548.6, 1190.1999999999998], [7533.7, 1190.4], [7518.8, 1190.9], [7508.1, 1191.5], [7497.5, 1192.3000000000002], [7476.2, 1193.9], [7434.2, 1197.0], [7380.3, 1201.1], [7331.8, 1204.6999999999998], [7313.2, 1206.0], [7294.6, 1207.1999999999998], [7276.1, 1208.1999999999998], [7268.8, 1208.4], [7257.6, 1208.9], [7244.2, 1209.1999999999998], [7230.5, 1209.4], [7219.8, 1209.6], [7209.0, 1209.8000000000002], [7203.8, 1209.9], [7198.6, 1210.0], [7193.7, 1210.1], [7188.9, 1210.1999999999998], [7188.1, 972.6999999999998], [7188.0, 916.0], [7269.0, 916.0]]"
L0003,s000010,M0003,"[[10603.0, 1125.0], [10630.8, 1258.3], [10578.1, 1258.2], [10548.8, 1117.5], [10603.0, 1125.0]]"
