下料批次号,零件名,面料号,零件外轮廓线坐标
L0002,s000001,2,"[[5693.0,745.0],[5692.6,749.1],[5692.0,754.6],[5691.4,760.3],[5690.8,766.2],[5689.6,778.2],[5688.3,790.5999999999999],[5685.7,815.5999999999999],[5684.4,827.9000000000001],[5683.5,836.8],[5682.6,845.5],[5681.1,862.9000000000001],[5680.4,872.9000000000001],[5679.8,882.9000000000001],[5679.6,890.8],[5679.6,898.8],[5679.4,905.5],[5679.1,912.0999999999999],[5678.2,925.5],[5677.7,936.7],[5677.2,947.9000000000001],[5676.7,970.4000000000001],[5676.2,996.4000000000001],[5675.9,1009.3],[5675.7,1021.8],[5670.6,1022.0],[5666.0,1022.0999999999999],[5661.8,1022.2],[5657.8,1022.3],[5654.1,1022.4000000000001],[5650.6,1022.5],[5643.6,1022.5999999999999],[5634.9,1022.8],[5625.8,1023.0],[5616.4,1023.0999999999999],[5606.7,1023.2],[5596.8,1023.3],[5586.8,1023.4000000000001],[5567.0,1023.4000000000001],[5555.8,1023.3],[5544.8,1023.2],[5522.9,1023.0],[5514.0,1023.0],[5509.5,1023.2],[5505.1,1023.4000000000001],[5499.6,1023.9000000000001],[5494.1,1024.6],[5487.4,1025.3],[5484.3,1025.8],[5480.7,1026.4],[5473.7,1027.9],[5466.8,1029.9],[5461.9,1031.4],[5459.5,1032.4],[5457.2,1033.4],[5455.2,1034.5],[5453.3,1035.7],[5449.6,1038.5],[5445.3,1042.1],[5441.5,1046.1],[5438.8,1049.4],[5436.4,1052.9],[5433.3,1057.8],[5430.6,1062.6],[5427.8,1068.6],[5425.4,1074.7],[5414.0,1072.3],[5402.8,1070.0],[5391.7,1067.7],[5380.7,1065.5],[5358.9,1061.2],[5337.2,1057.1],[5311.6,1052.5],[5285.6,1048.3],[5259.6,1044.4],[5233.5,1040.7],[5201.9,1036.6],[5170.4,1032.8],[5144.9,1029.9],[5119.3,1027.4],[5093.7,1025.2],[5068.1,1023.4000000000001],[5048.1,1022.3],[5028.1,1021.5],[4994.7,1020.3],[4952.7,1019.0],[4929.3,1018.2],[4905.8,1017.5],[4885.8,1017.2],[4865.7,1017.0],[4821.5,1016.5],[4775.6,1016.2],[4741.4,1015.9000000000001],[4707.0,1015.5999999999999],[4674.4,1015.5],[4617.4,1015.5],[4604.6,1015.5999999999999],[4591.2,1015.5999999999999],[4591.2,768.1],[4595.0,768.2],[4605.5,768.2],[4611.9,768.3],[4617.9,768.3],[4623.7,768.4],[4681.0,768.4],[4691.7,768.3],[4702.5,768.3],[4724.1,768.2],[4778.9,768.2],[4805.8,768.0],[4832.7,767.8],[4860.9,767.3],[4889.2,766.6],[4946.0,765.0],[4996.6,763.4],[5035.3,761.9],[5068.6,760.4],[5103.7,758.4],[5138.8,755.8],[5160.9,753.9],[5183.0,751.9],[5210.3,749.1],[5237.5,746.2],[5260.0,743.5],[5282.4,740.6],[5305.4,737.4],[5328.4,733.9],[5351.7,730.3],[5374.9,726.4],[5390.6,723.7],[5406.4,721.1],[5423.2,718.6],[5435.0,717.1],[5440.0,716.4],[5442.8,716.1],[5450.9,715.2],[5459.0,714.3],[5475.4,712.7],[5483.5,711.9],[5491.5,711.1],[5499.3,710.3],[5506.7,709.6],[5506.6,710.9],[5506.6,711.8],[5694.2,733.9],[5693.7,738.7],[5693.1,743.8],[5693.0,745.0]]"
L0002,s000002,2,"[[15081.0,403.0],[14891.6,402.79999999999995],[14891.5,404.9000000000001],[14890.4,404.70000000000005],[14889.4,404.4000000000001],[14888.6,404.20000000000005],[14887.5,403.9000000000001],[14886.2,403.5999999999999],[14884.8,403.29999999999995],[14883.2,402.9000000000001],[14879.8,402.0999999999999],[14872.6,400.29999999999995],[14869.2,399.4000000000001],[14867.6,399.0],[14866.2,398.70000000000005],[14864.5,395.79999999999995],[14862.8,392.79999999999995],[14859.3,386.79999999999995],[14856.6,382.4000000000001],[14855.1,380.20000000000005],[14853.5,378.20000000000005],[14851.4,375.79999999999995],[14849.0,373.5],[14844.1,369.29999999999995],[14840.3,366.0999999999999],[14836.3,362.79999999999995],[14838.2,361.29999999999995],[14840.2,359.70000000000005],[14842.2,358.0],[14844.1,356.4000000000001],[14846.0,354.70000000000005],[14847.0,353.79999999999995],[14848.1,352.79999999999995],[15083.2,353.0],[15083.0,357.4000000000001],[15082.8,362.0999999999999],[15082.6,367.20000000000005],[15082.3,372.29999999999995],[15082.1,377.5],[15081.8,382.5],[15081.6,387.20000000000005],[15081.5,391.4000000000001],[15081.4,393.79999999999995],[15081.3,396.29999999999995],[15081.2,397.70000000000005],[15081.2,399.20000000000005],[15081.1,401.0],[15081.0,403.0]]"
L0002,s000003,2,"[[6049.0,714.0],[6050.3,739.0],[5702.7,756.5],[5701.4,731.5],[6049.0,714.0]]"
L0002,s000004,2,"[[6444.0,326.0],[6444.0,394.0],[6242.8,394.0],[6242.8,326.0],[6444.0,326.0]]"
L0002,s000005,2,"[[7365.0,440.0],[7365.3,441.20000000000005],[7366.5,444.70000000000005],[7367.3,446.29999999999995],[7368.2,447.9000000000001],[7370.3,450.5999999999999],[7372.8,452.9000000000001],[7375.4,454.70000000000005],[7378.2,456.0999999999999],[7381.2,457.29999999999995],[7384.2,458.20000000000005],[7391.4,460.0999999999999],[7398.6,461.9000000000001],[7405.7,463.5],[7412.4,465.0],[7415.7,465.79999999999995],[7419.0,466.5999999999999],[7422.6,467.4000000000001],[7424.6,467.9000000000001],[7426.7,468.4000000000001],[7423.7,475.4000000000001],[7420.5,482.79999999999995],[7417.3,490.3000000000002],[7415.3,495.0999999999999],[7414.1,497.9000000000001],[7409.5,509.1999999999998],[7405.0,520.4000000000001],[7394.9,546.3000000000002],[7385.6,569.3000000000002],[7380.3,582.0],[7374.9,594.8000000000002],[7373.4,598.0999999999999],[7370.2,605.0999999999999],[7367.9,610.1999999999998],[7365.5,615.0999999999999],[7362.0,621.8000000000002],[7360.2,625.1999999999998],[7358.2,628.9000000000001],[7356.8,628.1999999999998],[7355.6,627.5],[7354.6,627.0],[7353.8,626.5999999999999],[7352.4,625.8000000000002],[7351.3,625.1999999999998],[7349.6,624.4000000000001],[7347.8,623.5],[7343.7,621.4000000000001],[7339.1,619.1999999999998],[7334.2,616.8000000000002],[7329.1,614.3000000000002],[7323.8,611.8000000000002],[7318.5,609.4000000000001],[7313.3,607.0],[7308.8,605.0],[7304.4,603.0],[7295.7,599.3000000000002],[7281.2,593.3000000000002],[7266.5,587.3000000000002],[7255.7,583.4000000000001],[7250.3,581.5],[7246.8,580.5],[7244.8,579.9000000000001],[7235.3,577.5],[7225.6,575.4000000000001],[7216.5,573.5999999999999],[7211.9,572.8000000000002],[7207.3,572.1999999999998],[7200.2,571.5999999999999],[7193.1,571.4000000000001],[7185.0,571.5999999999999],[7177.0,572.3000000000002],[7170.8,573.1999999999998],[7164.7,574.4000000000001],[7162.1,575.0999999999999],[7159.5,575.9000000000001],[7156.9,577.0],[7154.4,578.0999999999999],[7151.8,579.3000000000002],[7149.3,580.6999999999998],[7147.9,581.8000000000002],[7146.6,583.0],[7144.0,585.5999999999999],[7141.5,588.3000000000002],[7139.5,591.0],[7137.8,593.8000000000002],[7136.0,597.4000000000001],[7134.6,601.0999999999999],[7133.1,605.5999999999999],[7131.8,610.0],[7126.2,608.6999999999998],[7120.9,607.5],[7110.9,605.5],[7103.2,604.0999999999999],[7095.3,602.8000000000002],[7079.2,600.5999999999999],[7063.9,598.5999999999999],[7048.6,597.0],[7033.6,595.6999999999998],[7018.5,594.6999999999998],[7005.4,594.0999999999999],[6998.9,593.9000000000001],[6995.8,593.9000000000001],[6992.4,594.0],[6981.5,594.4000000000001],[6970.6,595.0],[6963.2,595.5],[6955.8,596.1999999999998],[6946.2,597.4000000000001],[6936.5,598.9000000000001],[6918.5,601.5999999999999],[6900.8,604.1999999999998],[6886.6,606.4000000000001],[6879.3,607.5],[6871.8,608.5999999999999],[6860.9,606.3000000000002],[6851.7,607.0],[6842.1,607.8000000000002],[6832.1,608.5],[6821.8,609.1999999999998],[6811.3,609.9000000000001],[6800.7,610.5999999999999],[6790.1,611.3000000000002],[6779.6,611.8000000000002],[6767.4,612.4000000000001],[6755.4,612.9000000000001],[6731.4,613.8000000000002],[6708.4,614.5999999999999],[6685.2,615.1999999999998],[6660.1,615.4000000000001],[6635.9,615.5],[6635.1,615.5],[6623.4,615.6999999999998],[6611.2,615.9000000000001],[6599.0,616.1999999999998],[6587.4,616.5],[6575.8,616.9000000000001],[6564.4,617.3000000000002],[6558.9,617.5],[6553.5,617.5999999999999],[6538.2,419.20000000000005],[6566.3,418.5],[6566.4,417.0999999999999],[6566.5,415.9000000000001],[6566.8,413.70000000000005],[6567.1,411.5],[6567.6,409.20000000000005],[6568.8,404.5],[6570.4,398.29999999999995],[6571.4,395.20000000000005],[6572.5,392.29999999999995],[6574.5,387.9000000000001],[6576.8,383.5999999999999],[6579.5,379.4000000000001],[6581.0,377.4000000000001],[6582.6,375.5999999999999],[6585.5,373.0999999999999],[6588.6,370.79999999999995],[6593.5,367.29999999999995],[6598.5,364.0],[6602.3,361.9000000000001],[6606.3,359.9000000000001],[6610.4,358.0999999999999],[6614.5,356.4000000000001],[6624.7,352.5999999999999],[6635.1,349.0],[6647.7,345.0999999999999],[6660.4,341.4000000000001],[6678.6,336.5999999999999],[6687.7,334.29999999999995],[6696.9,332.20000000000005],[6707.5,330.0],[6718.2,328.0],[6739.7,324.20000000000005],[6758.9,321.20000000000005],[6768.5,319.79999999999995],[6778.1,318.70000000000005],[6787.1,317.79999999999995],[6796.1,317.0999999999999],[6814.2,315.9000000000001],[6854.2,313.5999999999999],[6862.7,313.20000000000005],[6888.1,312.0],[6913.7,311.0999999999999],[6928.3,310.79999999999995],[6943.0,310.5999999999999],[6957.5,310.5],[6971.6,310.5],[6971.9,306.0],[6982.0,305.5],[6991.9,305.0999999999999],[7001.5,304.70000000000005],[7011.1,304.5],[7022.8,304.4000000000001],[7034.6,304.4000000000001],[7046.4,304.70000000000005],[7058.3,305.0999999999999],[7077.7,306.20000000000005],[7097.0,307.70000000000005],[7116.3,309.5],[7141.0,312.29999999999995],[7155.8,314.20000000000005],[7170.6,316.20000000000005],[7185.5,318.29999999999995],[7200.7,320.4000000000001],[7210.9,321.9000000000001],[7221.2,323.5],[7242.0,326.5999999999999],[7262.9,329.9000000000001],[7283.6,333.0999999999999],[7293.7,334.79999999999995],[7303.7,336.29999999999995],[7313.4,337.9000000000001],[7322.9,339.4000000000001],[7332.1,340.9000000000001],[7341.0,342.4000000000001],[7349.5,343.70000000000005],[7357.6,345.0999999999999],[7358.4,393.20000000000005],[7359.3,403.20000000000005],[7360.5,412.79999999999995],[7362.1,423.20000000000005],[7363.8,433.70000000000005],[7364.5,437.5],[7365.0,440.0]]"
L0002,s000006,2,"[[1033.0,321.0],[1333.0,321.0],[1333.0,361.0],[1033.0,361.0],[1033.0,321.0]]"
L0002,s000007,2,"[[855.0,1535.0],[855.0,1595.7],[722.6999999999998,1595.7],[722.6999999999998,1535.0],[855.0,1535.0]]"
L0002,s000008,2,"[[4260.0,1595.0],[4260.0,1555.0],[4560.0,1555.0],[4560.0,1595.0],[4260.0,1595.0]]"
L0002,s000009,2,"[[6832.0,5.0],[7041.1,5.0],[7048.4,46.69999999999982],[7074.1,46.69999999999982],[7087.7,46.59999999999991],[7110.5,46.59999999999991],[7119.6,46.5],[7137.6,46.19999999999982],[7160.8,45.40000000000009],[7184.0,44.09999999999991],[7200.1,42.90000000000009],[7216.1,41.59999999999991],[7255.5,38.80000000000018],[7291.9,36.30000000000018],[7326.3,34.09999999999991],[7374.0,31.40000000000009],[7393.2,30.40000000000009],[7412.5,29.40000000000009],[7434.7,28.5],[7457.0,28.09999999999991],[7476.4,28.199999999999818],[7495.8,28.300000000000182],[7511.5,28.199999999999818],[7519.4,28.300000000000182],[7527.3,28.40000000000009],[7537.5,28.90000000000009],[7547.6,29.40000000000009],[7555.1,29.699999999999818],[7562.7,30.09999999999991],[7569.7,30.5],[7576.6,30.90000000000009],[7583.3,31.40000000000009],[7586.5,31.59999999999991],[7589.5,31.800000000000182],[7589.5,46.80000000000018],[7589.6,54.19999999999982],[7589.6,65.90000000000009],[7590.0,77.59999999999991],[7590.8,88.90000000000009],[7592.0,100.19999999999982],[7592.7,104.59999999999991],[7593.4,109.09999999999991],[7594.3,113.5],[7595.5,117.90000000000009],[7597.0,122.09999999999991],[7598.9,126.19999999999982],[7600.8,129.80000000000018],[7603.0,133.30000000000018],[7605.0,136.19999999999982],[7607.2,139.0],[7609.7,141.69999999999982],[7612.4,144.19999999999982],[7609.6,149.9000000000001],[7607.2,154.80000000000018],[7606.7,155.9000000000001],[7603.6,162.0999999999999],[7600.8,168.0],[7600.5,168.5],[7594.2,181.5999999999999],[7588.0,194.80000000000018],[7581.1,210.0999999999999],[7574.6,225.19999999999982],[7569.7,237.4000000000001],[7564.8,249.69999999999982],[7560.7,260.1999999999998],[7556.6,270.6999999999998],[7555.6,273.3000000000002],[7552.9,280.8000000000002],[7549.4,290.6999999999998],[7547.3,297.4000000000001],[7546.2,300.8000000000002],[7545.0,304.5999999999999],[7542.4,304.1999999999998],[7540.1,303.9000000000001],[7537.9,303.5999999999999],[7535.8,303.3000000000002],[7531.9,302.8000000000002],[7528.2,302.3000000000002],[7524.2,301.6999999999998],[7520.0,301.0999999999999],[7511.4,299.9000000000001],[7502.5,298.8000000000002],[7493.6,297.8000000000002],[7486.4,297.1999999999998],[7479.4,296.6999999999998],[7465.4,295.9000000000001],[7445.6,295.0999999999999],[7433.2,294.8000000000002],[7432.2,294.8000000000002],[7420.6,294.6999999999998],[7401.9,294.6999999999998],[7392.8,294.9000000000001],[7388.4,294.9000000000001],[7384.2,295.0999999999999],[7380.3,295.1999999999998],[7376.2,295.4000000000001],[7374.1,295.5],[7371.8,295.5999999999999],[7369.3,295.6999999999998],[7366.7,295.8000000000002],[7364.0,307.5],[7360.6,306.9000000000001],[7357.1,306.1999999999998],[7349.6,304.8000000000002],[7341.7,303.4000000000001],[7333.4,301.9000000000001],[7325.0,300.4000000000001],[7316.4,299.0],[7307.8,297.5999999999999],[7299.4,296.3000000000002],[7292.2,295.3000000000002],[7285.1,294.3000000000002],[7271.1,292.4000000000001],[7257.0,290.1999999999998],[7242.9,288.0999999999999],[7223.6,285.5],[7207.0,283.4000000000001],[7190.3,281.5],[7185.5,281.0],[7182.0,280.6999999999998],[7173.6,280.0],[7165.2,279.5],[7156.9,279.1999999999998],[7146.5,279.0999999999999],[7136.1,279.0999999999999],[7111.6,279.1999999999998],[7096.7,279.4000000000001],[7081.8,279.9000000000001],[7071.1,280.5],[7060.5,281.3000000000002],[7039.2,282.9000000000001],[6997.2,286.0],[6943.3,290.0999999999999],[6894.8,293.6999999999998],[6876.2,295.0],[6857.6,296.1999999999998],[6839.1,297.1999999999998],[6831.8,297.4000000000001],[6820.6,297.9000000000001],[6807.2,298.1999999999998],[6793.5,298.4000000000001],[6782.8,298.5999999999999],[6772.0,298.8000000000002],[6766.8,298.9000000000001],[6761.6,299.0],[6756.7,299.0999999999999],[6751.9,299.1999999999998],[6751.1,61.69999999999982],[6751.0,5.0],[6832.0,5.0]]"
L0002,s000010,2,"[[12199.0,510.0],[12226.8,643.3],[12174.1,643.2],[12144.8,502.5],[12199.0,510.0]]"
